Bilan de l'observation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOM : FIAMINGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANALYSE   DES ACTIONS TECHNIQUES;;;;;;;;;;;;;;;;;;GESTION TACTIQUE DE LA PISTE;;;;;;;;;;;;;;;;;;
Main :;Gauche;;;;PrÇparation favorite : Recherche d'engagement tierce/seconde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type poignÇe :;;Crosse;;;Parade rÇflexe : Quarte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Nombre de touches DONNêES dans chaque zone;;;;;;;;;;;;;
;;;Match 1;;Match 2;;Match 3;;Match 4;;Match 5;;Match 6;;;;;;;;;;1;2;3;4;5;6;TOTAL;;;;;;;
Adversaire  ;;;;;;;;;;;;;;;Total;;;;;"Touches 

DONNêES";;M1;1;9;1;2;1;;14;;;;;;;
Type d'action;;Abv.;Touches DonnÇes;Touches reáues;Touches DonnÇes;Touches reáues;Touches DonnÇes;Touches reáues;Touches DonnÇes;Touches reáues;Touches DonnÇes;Touches reáues;Touches DonnÇes;Touches reáues;Touches DonnÇes;Touches reáues;Abv.;;;;;M2;2;5;6;;2;;15;;;;;;;
Attaque Simple;;AS;1;2;1;2;;2;1;2;1;;3;2;7;10;AS;;;;;M3;;;1;;10;;11;;;;;;;
Attaque ComposÇe;;AC;;;;;;;2;;;1;;6;2;7;AC;;;;;M4;;1;2;5;4;;12;;;;;;;
Attaque avec Fer;;AF;6;1;5;;6;;2;;3;5;3;;25;6;AF;;;;;M5;;;2;3;2;;7;;;;;;;
Contre-temps;;CT;;;;;;;;;2;;;;2;0;CT;;;;;M6;1;6;4;4;;;15;;;;;;;
Remise Attaque;;RA;2;2;;;2;;2;1;1;1;2;;9;4;RA;;;;;TOTAL;4;21;16;14;19;0;74;;;;;;;
Contre-Attaque;;CA;;3;3;2;;12;1;3;;4;3;2;7;26;CA;;;;;;;;;;;;;;;;;;;
Attaque dans l'attaque;;AA;;;;;;;;;;;2;;2;0;AA;;;;"Touches
DONNêES";4;21;;16;14;19;;0;;;;;;;
Parade-Riposte;;PR;4;;6;2;3;;3;4;;4;2;;18;10;PR;;;;;;;;;;;;Terrain adversaire;;;;;;;
Remise Riposte;;RR;1;1;;;;1;1;2;;;;;2;4;RR;;;;"Touches
REÄUES";0;4;;8;17;23;;14;;;;;;;
Attaque sur retour en garde;;AR;;;;;;;;;;;;;0;0;AR;;;;;;;;;;;;;;;;;;;
;;Total;14;9;15;6;11;15;12;12;7;15;15;10;74;67;Total;;;;;;Nombre de touches REÄUES dans chaque zone;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;1;2;3;4;5;6;TOTAL;;;;;;;
;;;;;;;;;;;;;;;;;;;;"Touches 

REÄUES";;M1;;1;3;2;3;;9;;;;;;;
;;;"EFFICACITê
Touches DONNêES";;;;;;;"VULNêRABILITê
Touches REÄUES";;;;;;;;;;;;M2;;;1;3;1; ;5;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;M3;;;;1;7;7;15;;;;;;;
;;;61%;;;;39%;;;40%;;;;60%;;;;;;;;M4;;;;2;6;4;12;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;M5;;1;2;5;4;3;15;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;M6;;2;2;4;2;;10;;;;;;;
